Donor	Pool	Stimulation
ID_1	pilot3_lane1	UT
ID_2	pilot3_lane1	UT
ID_3	pilot3_lane1	UT
ID_4	pilot3_lane1	UT
ID_5	pilot3_lane1	UT
ID_6	pilot3_lane1	UT
ID_7	pilot3_lane2	UT
ID_8	pilot3_lane2	UT
ID_9	pilot3_lane2	UT
ID_10	pilot3_lane3	UT
ID_11	pilot3_lane3	UT
ID_12	pilot3_lane3	UT
ID_13	pilot3_lane4	UT
ID_14	pilot3_lane4	UT
ID_15	pilot3_lane4	UT
ID_16	pilot3_lane4	UT
ID_17	pilot3_lane4	UT
ID_18	pilot3_lane4	UT
ID_19	pilot3_lane5	UT
ID_20	pilot3_lane5	UT
ID_21	pilot3_lane5	UT
ID_22	pilot3_lane5	UT
ID_23	pilot3_lane5	UT
ID_24	pilot3_lane5	UT
ID_25	pilot3_lane6	UT
ID_26	pilot3_lane6	UT
ID_27	pilot3_lane6	UT
ID_28	pilot3_lane6	UT
ID_29	pilot3_lane6	UT
ID_30	pilot3_lane7	UT
ID_31	pilot3_lane7	UT
ID_32	pilot3_lane7	UT
ID_33	pilot3_lane7	UT
ID_34	pilot3_lane7	UT
ID_35	pilot3_lane7	UT
ID_36	pilot3_lane8	UT
ID_37	pilot3_lane8	UT
ID_38	pilot3_lane8	UT
ID_39	pilot3_lane8	UT
ID_40	pilot3_lane8	UT
