"gene"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"z.std"
"1"	"UBE2J1"	-0.257812699844527	12.8937668733174	-3.80324429815906	0.000178259680643956	0.089129840321978	0.593935325235364	-3.74798673320464
"2"	"CCT3"	-0.245736910460502	12.9897782926586	-3.4975132886843	0.000553899882212679	0.13847497055317	-0.382671314173721	-3.45323809285391
"3"	"MANF"	-0.212431018799983	12.8431078659183	-3.33003889348993	0.000996656802908503	0.166109467151417	-0.85099275781506	-3.29146877518567
"4"	"GNB2"	-0.201952863899918	12.8308021388862	-3.04653788744128	0.00255806838042628	0.311008202452681	-1.63687627470306	-3.01638665116903
"5"	"IRF1"	0.224654632736631	13.532593100113	2.98474108249847	0.00311008202452681	0.311008202452681	-1.79415880162533	2.95664277837867
"6"	"S100A4"	-0.216738462750076	13.0006982442418	-2.89930749161592	0.00406645409851974	0.338871174876645	-2.00896246686436	-2.87296014721548
"7"	"CXXC5"	-0.197130013227526	13.0645410651407	-2.66888259680906	0.00809190002444731	0.527754689142662	-2.55659049165842	-2.64821100994259
"8"	"MAP4K4"	-0.157466634312801	12.7505707451114	-2.6541397458508	0.00844407502628259	0.527754689142662	-2.64925394893153	-2.6337777099829
"9"	"ACOT9"	-0.123232336786037	12.6519669441838	-2.60678522379129	0.00967747677083434	0.530020541032488	-2.87766629324716	-2.58714532319895
"10"	"GCC1"	-0.112262077434287	12.6185834325883	-2.57452003993177	0.0106004108206498	0.530020541032488	-2.99285852853408	-2.55560258988342
"11"	"ITM2C"	-0.179382974281779	12.8893483124525	-2.52941974740629	0.0120278859020388	0.546722086456311	-2.88639814319717	-2.5113251362126
"12"	"CUTA"	-0.177095464411849	13.0061861987839	-2.45374153723148	0.0148079209200658	0.589362101812056	-3.03185442732795	-2.4370429379885
"13"	"SDE2"	-0.0952486839134498	12.5759650040656	-2.44058931445982	0.0153446186643762	0.589362101812056	-3.38350170846704	-2.4241416574462
"14"	"SLC39A4"	-0.0969473380272173	12.582563987834	-2.39451824670323	0.0173679214136997	0.589362101812056	-3.46651520518717	-2.37882495120156
"15"	"KLHL24"	-0.141005539978695	12.7443332038699	-2.38753240712894	0.0176808630543617	0.589362101812056	-3.25533549914023	-2.37223454369982
"16"	"HARS"	0.120364469209207	12.6713382932325	2.32389599302626	0.020920857221102	0.604415117397868	-3.46062241215428	2.30940970091816
"17"	"FCRL3"	0.15357958694664	12.8513271770515	2.31529822979258	0.0213950407617547	0.604415117397868	-3.35101538648095	2.30093968133782
"18"	"RBM28"	0.112932213440842	12.6578843157951	2.2977704309694	0.0223738801103301	0.604415117397868	-3.53356441744159	2.28396002981048
"19"	"SF3A3"	0.132466479897086	12.7399483474526	2.24660435252884	0.0255097129992214	0.604415117397868	-3.54337164254715	2.23359530696893
"20"	"COPS7B"	-0.1040590199229	12.6356890535414	-2.23439115539138	0.0263246946298218	0.604415117397868	-3.71219599157392	-2.22138797738354
"21"	"HSPB1"	-0.101969998513801	12.6200980277551	-2.23274859960236	0.0264221029395084	0.604415117397868	-3.75516901090062	-2.2199508681775
"22"	"ANP32E"	0.151006104603927	12.8557019334526	2.23039695682976	0.0265942651655062	0.604415117397868	-3.51382375173192	2.21742203747457
"23"	"MYO1G"	-0.123007409128139	12.7353905417931	-2.16178584674727	0.0315682803195229	0.686266963467889	-3.72713715084083	-2.14983485203257
"24"	"RHOH"	0.161457582891833	13.1975707012029	2.13676435314551	0.0335743595054215	0.699465823029615	-3.64408038433711	2.12514687217604
"25"	"SRSF11"	0.162746448218553	13.1519650353386	2.11851955090937	0.0350851941973773	0.701703883947546	-3.68279603478863	2.10737376098792
"26"	"TULP4"	-0.117582744916662	12.7291688845316	-2.09677842523148	0.0369976704003406	0.711493661545011	-3.87389456266415	-2.08578977099039
"27"	"CPSF3"	-0.0818678029964186	12.5852638686806	-2.05938079873105	0.0404593038680803	0.737326021664434	-4.18331770837536	-2.04902874838516
"28"	"SYTL3"	-0.0744209047244932	12.5583659541081	-2.04177808153544	0.042188654108972	0.737326021664434	-4.27640924705821	-2.0316544118355
"29"	"CERS2"	-0.0843717634380986	12.6057689387997	-2.0237238304964	0.0440273113573324	0.737326021664434	-4.22725515470677	-2.01383069985298
"30"	"SMIM20"	-0.0930836896517758	12.6318467683756	-2.0026530206069	0.0462710325470976	0.737326021664434	-4.18423319128102	-1.99291247044953
"31"	"EPB41L2"	-0.0908921207925392	12.6187781556127	-1.9925697757348	0.0473704931413336	0.737326021664434	-4.23341502245804	-1.98297257376443
"32"	"ZNF680"	0.0798484182466668	12.5720793606414	1.97210854058487	0.0496631284660496	0.737326021664434	-4.3412639175451	1.96285410868988
"33"	"VMA21"	-0.112834328448277	12.7246089836163	-1.9624379387962	0.050797611390418	0.737326021664434	-4.10448468745077	-1.95318556086082
"34"	"FAM208A"	0.0800921202011155	12.5898556036004	1.94878273983648	0.0524031278216112	0.737326021664434	-4.34870809182796	1.93980717936123
"35"	"CASP3"	-0.0893869409828382	12.631828077705	-1.91362683167451	0.0567869938411762	0.737326021664434	-4.34143033813074	-1.90494674645333
"36"	"MRPL20"	-0.14131631110735	13.1149317836901	-1.89225546395895	0.0595743062828931	0.737326021664434	-4.07856810198547	-1.88393102275964
"37"	"TAZ"	-0.0751192716737067	12.5891205464426	-1.88148357545387	0.0610298260624761	0.737326021664434	-4.51264448165514	-1.87327930521452
"38"	"SFT2D1"	0.136368251020722	12.9985423219569	1.88007491117773	0.0612420769150057	0.737326021664434	-4.10965954485993	1.87174365437603
