"gene"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"z.std"
"1"	"IFI6"	-0.00581635435576393	12.6211301617976	-3.19709372236037	0.00156099025899348	0.696762018930444	-3.62278158722205	-3.16309939548024
"2"	"MRFAP1"	0.00717477191515661	12.8675550606258	2.80927767214958	0.00535065478669157	0.696762018930444	-4.3608878447434	2.78512829445065
"3"	"PIGX"	0.00593270836592307	12.750556949838	2.80136340323293	0.00547342469677402	0.696762018930444	-4.5693288409528	2.7777646495139
"4"	"HNRNPH1"	0.00803887317500576	13.0689293514953	2.7952957562015	0.00557409615144355	0.696762018930444	-4.29922365809595	2.77183687887606
"5"	"NT5C3A"	-0.0065733879592259	12.8897313257196	-2.59676170683422	0.00995858898610472	0.813572796045156	-4.91676431997959	-2.57726389292349
"6"	"PBRM1"	0.00629647088329488	12.8094668124766	2.59371665080714	0.0100458763182973	0.813572796045156	-4.98791145930194	2.57424618886489
"7"	"RNF13"	0.00513892801683476	12.7269513738684	2.45858881336014	0.0146046236286833	0.813572796045156	-5.46918565124803	2.4420376449352
"8"	"SYK"	0.00438537290817816	12.6483447187593	2.44406769770088	0.0152065248485736	0.813572796045156	-5.64652919276182	2.42742275114924
"9"	"COPG1"	0.00379423565820292	12.5712790896134	2.42922675836588	0.0158269537034211	0.813572796045156	-5.81844380725337	2.41288174490315
"10"	"SLC25A36"	-0.00505839194233032	12.7294886433938	-2.41860672925655	0.0162714559209031	0.813572796045156	-5.54966880480644	-2.40276914300315
"11"	"MAP3K13"	0.00465963506710532	12.696405388334	2.34303365746935	0.0198961302780909	0.816668795116558	-5.78459550986156	2.32830092401669
"12"	"GNL2"	0.00423693170715095	12.6697783273247	2.30619952619927	0.0218909961162148	0.816668795116558	-5.92278977950836	2.29225390345034
"13"	"MOB4"	-0.00561517651274141	12.8483227104569	-2.26602513269456	0.0242838303643153	0.816668795116558	-5.73592791406982	-2.25260872725671
"14"	"THAP1"	0.00388570300119566	12.622740350487	2.24577577927644	0.0255763949915944	0.816668795116558	-6.14530077202132	2.23258392724713
"15"	"CAPN7"	0.00374660043217991	12.6048718038007	2.2129567557532	0.0277889375323658	0.816668795116558	-6.23616259435595	2.2002531741009
"16"	"SLC35A4"	0.00360651316050813	12.6019480478186	2.20713510582547	0.0281835673339956	0.816668795116558	-6.26923278962615	2.19472169735977
"17"	"ANKH"	0.00408402481385074	12.6690485611534	2.18254474132435	0.0299853931903995	0.816668795116558	-6.20236594525693	2.17028327038633
"18"	"NAA50"	-0.00638453918744359	13.1732489432443	-2.16354629229365	0.0314254474400671	0.816668795116558	-5.80291725311873	-2.15164344702372
