	ID_31;;pilot3_lane7	ID_15;;pilot3_lane4	ID_14;;pilot3_lane4	ID_3;;pilot3_lane1	ID_38;;pilot3_lane8	ID_25;;pilot3_lane6	ID_26;;pilot3_lane6	ID_27;;pilot3_lane6	ID_32;;pilot3_lane7	ID_5;;pilot3_lane1	ID_19;;pilot3_lane5	ID_33;;pilot3_lane7	ID_35;;pilot3_lane7	ID_28;;pilot3_lane6	ID_9;;pilot3_lane2	ID_37;;pilot3_lane8	ID_8;;pilot3_lane2	ID_7;;pilot3_lane2	ID_10;;pilot3_lane3	ID_34;;pilot3_lane7	ID_30;;pilot3_lane7	ID_4;;pilot3_lane1	ID_36;;pilot3_lane8	ID_17;;pilot3_lane4	ID_11;;pilot3_lane3	ID_23;;pilot3_lane5	ID_40;;pilot3_lane8	ID_12;;pilot3_lane3	ID_22;;pilot3_lane5	ID_39;;pilot3_lane8	ID_21;;pilot3_lane5	ID_13;;pilot3_lane4	ID_2;;pilot3_lane1	ID_16;;pilot3_lane4	ID_29;;pilot3_lane6	ID_20;;pilot3_lane5	ID_1;;pilot3_lane1	ID_6;;pilot3_lane1	ID_18;;pilot3_lane4	ID_24;;pilot3_lane5
ACOT9	0.0793263812451319	0.0536771415963889	0.0614080515117342	0.1179948186436	0.0403425847151334	0.07412230446666	0.115090645765051	0.0706052143447966	0.0780907761609888	0	0.0739293877905291	0	0	0	0.00704477122054767	0.126688685928836	0.0649653062595074	0.0631332950628973	0.122040220153667	0.0745836845846977	0	0	0.17670635907105	0	0.162604845508757	0.0470034449259949	0	0	0.157469512892113	0.0564261147793971	0.186404590141756	0.122490999751142	0	0	0	0.0387422709067488	0	0	0.306531091922609	0.297941613086832
MAGED2	0.168651348985122	0.153863118866251	0	0.217331368483608	0.0933340696919786	0.164850623846015	0.0750802193112483	0.123013889310498	0.119174339340568	0.122998455719821	0.137273135849185	0.0606865748709013	0	0.173794758277812	0.0814366517685411	0.120875822751259	0.120782545449195	0.169660845989333	0.158000327680754	0.252152720880246	0.154352054829901	0	0.107092457818244	0.181530748197458	0.141460845019407	0.0560913104084259	0.147700373801698	0.0333763802147206	0.14089584557322	0.0988172961868037	0.131518770284254	0.246769345318924	0.133225485978326	0.0892582542196708	0.169048644858631	0.0914707322988088	0.126561012786418	0.176391775381277	0.306712998926581	0
NUDCD3	0.0968566377130712	0.0627354420623191	0	0.0540420477397139	0	0.0494409464366835	0.112495892399557	0.0984175041113622	0	0.0542170826141248	0	0.08936931677179	0	0.259148848552986	0.0230118803245259	0.0397417721261066	0.0358091173898275	0.0265074783617351	0.0457469860617602	0.0745836845846977	0.138400670275392	0.0519349658970569	0	0.203083150123838	0.185070834730709	0.143171109856294	0	0.0364514998390199	0	0.0380559307631336	0.0389211767378682	0.126220021010577	0.131898001325833	0.0892582542196708	0	0	0	0.147497727025686	0.0953300743352215	0
SRGAP2	0.110345474898943	0	0	0	0	0.0387210880735515	0.0884476559455799	0	0	0.034905182039333	0	0.115586524467295	0	0	0.0125067861347709	0.0452864803994261	0.0293470333356633	0.0618319139389507	0.037835795424509	0.0680818548179778	0	0.0585389219373852	0.020145657051507	0.108466706584505	0.0970700431393029	0.0232135668100867	0	0	0	0.0316599774032774	0.0666009126359492	0.0223036200343046	0	0	0	0.0458999098746885	0.0210856953825264	0	0	0
RNF220	0.0983747700187509	0.0528427749146755	0	0.0690641205874829	0.0929343252298654	0.102420197514753	0	0	0.0494308456247205	0.0661563437910153	0.0207404141620034	0	0	0	0.0404831295749778	0.0744590696118035	0.11288283189655	0.038393660550723	0.037835795424509	0.0473577790061535	0.131894886138052	0.0434956898790425	0.12632313649078	0.0666913320515596	0	0	0	0.0281309372435473	0.0965388149305029	0	0.0476657083897592	0.0279635990987316	0.0503245415244418	0.0861574576899534	0	0	0.0975939802101183	0	0.0805568520673786	0
LY86	0.156872653137823	0.148494932057325	0.478720384841786	0.0704419214156383	0.157075893956541	0.042468550558326	0.231278198837131	0.24398940976059	0.28972228841483	0.0421429367759019	0	0.140830717815648	0	0	0.119582748265828	0.0883421955199056	0.180386331434053	0.0668165199429278	0.0301742186305975	0.0739192910645353	0.17463342190767	0.196354558007339	0.0213756335677135	0.0666913320515596	0.161240891879317	0	0	0.207967375777611	0.128839129099928	0.179266231692156	0.101427301618467	0.0195005074328611	0.107248673296872	0.0859916350619949	0	0.0800172863261012	0	0.22174744497644	0.071694842586135	0
SMIM4	0.092187150374514	0.0954205220194386	0	0.179184407441114	0.192346051853756	0.0305437860342967	0.149275269030403	0.06420563940541	0.0962740016575269	0.034905182039333	0.0829456788252921	0	0	0.374743774924063	0.110564747505074	0.0802057568245129	0.0954886215921257	0.0237019438250583	0	0.115439633824131	0.0257321183925093	0.132264702252623	0.0455680659459583	0.0984359896485233	0.0620305665779894	0.122487628831353	0.133555076417815	0.0500661411253605	0.14089584557322	0.142784949294686	0.13562167774735	0.0521162314482276	0.0915945955504914	0.100445896195103	0.125305121682262	0.0957121279636331	0.0520653016840817	0.0547316979783325	0.0634053745263699	0
RYK	0.0277502455582367	0	0.0614080515117342	0.116701393726567	0.0714055009925373	0	0	0	0	0	0.108616352586418	0	0	0	0.0354985991873352	0.0221514441842757	0.0705932072887183	0.0347996103247829	0.0326480377569018	0.0362545101735019	0.0632397205084581	0.162940514774895	0.0608916224498864	0.139755373664513	0.0236916291461772	0	0	0	0	0	0.112205108116106	0.0417382510520684	0.0449324713533729	0	0	0.027593206850164	0.0280700269003546	0.0723825046647386	0.0805568520673786	0.280246345179146
XRN1	0.175592699165081	0	0.0855445611674594	0.091796410239113	0.0559558966695174	0.197402393157002	0.148115038034476	0.158195246076131	0.183757320233295	0.208536321589392	0.109918169364999	0.154353452684022	0.095661450595578	0.103057248799131	0.165233209279833	0.210810839714388	0.0380322354437484	0.144987401862755	0.11677023100304	0.257326681022414	0.314426285602978	0.114452438967052	0.100596432062436	0.24846145798285	0.0534595721142114	0.03052137148588	0.12952392740186	0.356950189843605	0.389178545250078	0.0120220054547715	0.116354470426275	0.0272494690458313	0.119212393328132	0.168614230414202	0.444386016612837	0.0319285898709654	0.0280700269003546	0.0913592713747074	0	0.297941613086832
NUP210	0.0251347200300669	0	0	0.0195559883032608	0.112298205631119	0.100387048779967	0	0	0	0.034905182039333	0.0941608599656954	0.17573915720464	0.109333151447392	0	0.0537447643760291	0	0.082348322634003	0.086807232005748	0.0242297527161683	0	0	0.15763781010415	0.0196876308155515	0.101885759774544	0	0.0893888475822428	0.0980817478189629	0.100367417675698	0	0.115950564202976	0.10963386705597	0.135013305988248	0.131021364054777	0	0	0.125455591081389	0	0.149364940311702	0	0.280246345179146
